Image 1 Points (x1, y1), Image 2 Points (x2, y2)
546.963989, 246.064346, 367.902924, 333.648682
574.573914, 162.862793, 192.683899, 145.622528
305.926605, 205.490479, 380.237549, 332.617676
329.153381, 254.322388, 389.107117, 336.960907
340.973358, 195.368423, 302.122223, 251.931076
569.942017, 178.448090, 448.092346, 123.012871
136.633133, 386.500153, 274.888977, 188.263458
566.037903, 159.302628, 247.796799, 155.699554
538.022156, 280.037933, 134.747955, 108.088089
172.487930, 84.909271, 510.552399, 262.415070
197.602036, 381.994415, 511.681030, 145.612076
276.537109, 375.316681, 507.159241, 186.695648
308.685150, 253.377182, 510.703430, 298.745911
266.398407, 168.586212, 367.573608, 364.242889
214.558655, 311.003815, 513.769348, 193.899551
445.948120, 351.754272, 238.683670, 146.101013
273.029114, 173.955093, 141.861969, 172.432297
266.050476, 200.564148, 327.079010, 162.120544
144.962723, 262.486877, 183.116837, 225.881821
213.595154, 381.463776, 412.029175, 152.938370
490.961639, 303.157288, 83.344933, 245.173584
541.738159, 251.778580, 263.682129, 161.419357
431.403961, 148.701141, 55.561089, 139.550522
495.917175, 290.142731, 239.857605, 239.901169
316.226410, 169.771942, 185.992081, 204.001236
343.650665, 178.622574, 309.921753, 364.950287
347.111755, 182.024460, 187.751129, 211.104752
347.111755, 182.024460, 348.807312, 264.833313
274.435120, 177.428650, 360.515839, 352.966156
343.047058, 165.419601, 317.099060, 373.172913
113.112740, 272.292206, 187.751129, 211.104752
405.607422, 376.858307, 505.588074, 114.444069
567.882996, 174.107239, 442.030243, 126.170601
202.706924, 376.710846, 250.425369, 336.550568
298.613190, 270.055664, 367.411285, 352.948914
497.410431, 296.210388, 135.936798, 298.426147
230.926208, 194.482941, 342.649048, 255.574554
232.137497, 183.346405, 386.731659, 363.449463
201.722961, 377.523163, 321.302399, 340.667877
284.394684, 199.696701, 285.943756, 161.993576
530.629272, 150.229965, 231.407852, 230.809860
320.938873, 184.085022, 141.854141, 187.863235
377.991577, 372.757233, 268.967804, 342.512939
216.301514, 178.870163, 322.592102, 369.312378
490.961639, 303.157288, 88.352661, 107.949097
353.071594, 359.493256, 100.119347, 171.422089
320.938873, 184.085022, 114.848183, 130.075775
148.548813, 297.438416, 504.443542, 321.160553
490.790222, 294.440979, 65.193680, 139.025269
562.279236, 139.222839, 509.498291, 316.320496
322.720459, 180.904099, 359.756012, 278.399780
466.191162, 325.847412, 146.813522, 124.382538
532.774963, 212.280304, 488.029694, 333.129730
298.613190, 270.055664, 268.181061, 269.437439
184.314529, 129.515793, 262.223053, 241.587418
242.887207, 312.941925, 370.258423, 219.446121
170.292679, 197.085510, 483.622406, 231.570328
242.887207, 312.941925, 370.258423, 219.446121
172.627823, 95.488403, 248.431076, 198.365326
562.400452, 193.523651, 79.639244, 113.054474
540.063049, 273.808594, 64.282043, 196.604919
422.896332, 143.778610, 461.011047, 389.113617
260.131317, 174.211319, 108.094460, 130.914520
228.680481, 250.733810, 232.460495, 371.471161
170.292679, 197.085510, 464.560974, 247.038773
528.356262, 266.963623, 238.541779, 153.721802
329.098145, 195.405121, 420.387024, 165.555252
337.953125, 354.959595, 310.315887, 170.821106
231.718811, 200.891159, 395.461121, 339.102509
260.401550, 198.936172, 420.387024, 165.555252
339.854218, 267.447052, 293.570221, 265.289032
500.704590, 163.204376, 466.237427, 211.822235
485.644348, 303.675415, 128.733170, 280.566589
540.418091, 262.755829, 102.274841, 278.801544
136.980515, 222.948807, 205.967133, 147.670868
363.194733, 167.562317, 153.142548, 214.947830
332.376343, 267.717651, 285.645264, 257.393433
460.605682, 326.869415, 146.813522, 124.382538
250.447144, 262.605438, 407.105499, 172.049225
360.785004, 164.017273, 322.928009, 196.355301
339.942291, 343.928864, 291.363739, 261.403168
157.963776, 380.060577, 505.588074, 114.444069
291.751923, 344.263062, 333.617249, 252.006149
539.545532, 170.905548, 101.225433, 142.482697
160.093750, 330.882202, 474.887970, 324.535553
480.842102, 222.919891, 474.610565, 338.786591
364.220062, 350.989441, 284.237549, 358.999695
448.312225, 312.092957, 427.510559, 187.956131
501.481079, 129.830154, 182.798203, 337.750183
213.750290, 211.152618, 375.577362, 196.864197
540.063049, 273.808594, 230.003418, 380.721405
506.681335, 161.204010, 447.718597, 369.478302
220.985245, 331.980377, 242.737076, 325.284698
223.542938, 214.807083, 389.504425, 234.358688
262.958527, 191.789429, 159.312302, 180.254181
348.600281, 357.442017, 151.742233, 312.350952
364.220062, 350.989441, 399.797333, 255.378494
539.545532, 170.905548, 101.225433, 142.482697
479.095459, 267.626953, 461.353302, 244.207535
498.169861, 133.955170, 198.556549, 346.204468
381.808228, 281.986145, 169.130203, 153.900101
443.931763, 251.995041, 473.912109, 316.968719
246.427826, 259.440063, 160.677597, 296.579498
366.873505, 169.827209, 150.404327, 254.500885
324.937653, 177.031448, 384.335266, 269.764435
512.322266, 151.995468, 510.951263, 285.484344
391.032654, 246.179810, 389.622559, 268.388763
473.794250, 228.911423, 491.220612, 266.858582
503.489105, 178.486588, 191.975647, 173.294113
273.622925, 186.852554, 267.730072, 260.334015
400.622986, 202.602768, 218.382736, 356.053070
157.969421, 123.908829, 409.715820, 256.809265
377.803345, 259.696381, 309.392242, 174.505585
506.681335, 161.204010, 472.420685, 375.955566
494.776825, 167.656845, 463.340485, 207.968567
382.366791, 258.362366, 261.976654, 173.434418
218.591629, 263.497498, 171.385071, 224.239822
403.368713, 150.645081, 153.510147, 319.883514
463.211731, 115.922874, 384.701782, 112.634560
203.109558, 284.364777, 206.648407, 163.898499
298.069458, 353.275055, 247.680328, 280.092957
405.517212, 173.306030, 164.036987, 260.042297
274.573395, 281.788757, 89.588478, 239.022171
392.420959, 282.809174, 193.004074, 270.640320
406.064209, 188.084244, 437.191986, 155.948975
502.332123, 182.905075, 503.790955, 139.210388
414.619415, 351.102722, 407.896210, 289.298889
297.062775, 349.741180, 267.885345, 255.481033
455.768158, 181.147751, 440.256805, 226.621857
261.489532, 271.926666, 385.669403, 261.391418
274.573395, 281.788757, 89.588478, 239.022171
419.042145, 348.564087, 438.214569, 358.256927
546.423462, 176.151520, 243.598404, 290.491974
416.513519, 174.620285, 440.817719, 343.288422
151.789505, 120.988663, 271.046692, 389.538055
482.199554, 276.658112, 204.878128, 186.805923
276.846680, 353.685303, 467.634186, 222.768799
482.199554, 276.658112, 204.878128, 186.805923
417.785828, 289.091644, 491.093231, 233.419907
119.878700, 321.549805, 132.585373, 220.645050
239.266327, 269.028656, 264.029144, 256.438080
330.780548, 346.173279, 261.172302, 164.191467
482.441467, 253.398224, 494.803436, 192.867126
464.351410, 323.103363, 414.725922, 320.828278
169.127960, 330.953888, 233.922562, 258.011597
326.250397, 276.174652, 300.109619, 166.163651
314.730865, 194.637344, 385.359589, 251.158279
493.943298, 161.612473, 157.316513, 238.162689
204.676834, 205.938614, 169.904755, 322.261902
264.395966, 266.390991, 426.796112, 278.169830
188.933548, 260.804077, 473.441772, 284.033478
311.986725, 350.153839, 161.223709, 245.881363
392.771423, 270.903931, 387.185974, 191.512802
234.155182, 360.090515, 202.391068, 267.664429
478.048187, 225.920563, 477.962463, 369.250336
374.928986, 352.467651, 213.749878, 292.798248
471.999573, 204.211929, 427.139526, 311.746307
354.200195, 191.766342, 419.890594, 162.355728
440.138580, 201.224411, 210.799744, 272.079071
183.746109, 287.724884, 503.546967, 372.404602
451.174805, 229.998947, 446.767578, 338.652588
311.275116, 272.906921, 173.514572, 245.125610
367.732208, 254.103836, 237.028931, 364.091461
410.522400, 327.792694, 423.472229, 198.538940
378.877045, 256.502655, 401.998291, 250.963577
272.024689, 369.559174, 439.533386, 380.550201
230.380875, 345.136810, 449.554321, 235.793945
491.264130, 176.612671, 462.546814, 172.671265
191.757172, 257.997528, 491.151245, 336.931122
386.109558, 166.094330, 143.382568, 276.914246
263.103424, 262.531281, 442.357727, 298.802399
380.896362, 340.458740, 320.554230, 193.429184
257.541718, 262.539398, 156.721573, 170.061554
178.619278, 262.406250, 481.984039, 161.110580
477.093811, 232.348831, 481.185547, 327.734406
502.332123, 182.905075, 451.074615, 344.720306
233.542328, 364.504700, 467.634186, 222.768799
276.770660, 362.985199, 206.369400, 209.092407
423.465271, 253.071838, 454.918091, 145.229889
394.342560, 199.210571, 415.557709, 204.409317
501.529083, 153.384064, 469.701782, 317.626678
505.936035, 150.099411, 173.144791, 166.150604
443.873169, 178.019073, 160.677597, 296.579498
520.243347, 221.723007, 467.634186, 222.768799
395.948700, 284.847046, 68.366020, 140.642487
175.810074, 216.750900, 438.827545, 202.578735
156.716064, 234.822296, 185.961014, 317.841400
381.242950, 192.097122, 443.514618, 224.399429
400.409180, 377.658539, 245.888535, 160.143036
131.396576, 78.235809, 423.042511, 192.181717
258.530884, 276.541382, 328.369049, 264.127777
373.870087, 348.119019, 186.051132, 273.628418
406.765869, 243.091187, 420.014862, 171.227142
375.814606, 266.344360, 415.623779, 223.381195
181.417908, 310.791290, 211.462372, 172.863663
165.378769, 347.669739, 442.357727, 298.802399
376.864868, 174.830551, 366.146454, 176.249664
287.150909, 188.623032, 199.064987, 256.447144
234.155182, 360.090515, 202.391068, 267.664429
286.870911, 281.517609, 428.692261, 313.874359
444.808441, 245.548599, 375.038422, 357.505859
510.530884, 185.142563, 438.883301, 199.401459
383.903290, 195.592682, 156.540237, 160.229980
418.322937, 360.662781, 74.022362, 206.464706
395.948700, 284.847046, 377.169159, 255.969101
323.260468, 271.182281, 209.760864, 311.984711
200.339417, 177.356171, 445.737122, 304.476410
271.502869, 344.296692, 200.324921, 178.675339
481.449432, 263.546326, 172.246704, 311.951660
212.807831, 360.966705, 501.159027, 333.231598
444.319031, 206.868851, 211.462372, 172.863663
379.178101, 178.681427, 168.772949, 201.604172
332.307129, 352.805420, 463.486267, 284.718597
203.156509, 284.422028, 464.463684, 317.353394
